FOURNISSEURS,LIBELLE,PU,TVA,DP
COFARMA,ALVITYL SP FL/50ML,15900.0,1,2025-08-01 00:00:00
COFARMA,ALVITYL TONUS CPR EFF/10,13380.0,1,2026-07-01 00:00:00
COFARMA,ALVITYL TONUS CPR EFF/10 *,11400.0,1,2024-10-01 00:00:00
COFARMA,AMADAY  5MG CPR/30,22900.0,0,2027-07-01 00:00:00
COFARMA,AMADAY  5MG CPR/60,43665.0,0,2025-06-01 00:00:00
COFARMA,AMADAY 10MG CPR/30,34150.0,0,2027-09-01 00:00:00
COFARMA,AMADAY PL  5/4MG CPR/30,49600.0,0,2026-10-01 00:00:00
COFARMA,AMADAY PL 10/4MG CPR/30,56000.0,0,2026-06-01 00:00:00
COFARMA,AMAREL 1MG CPR/30          ,19900.0,0,2026-02-01 00:00:00
COFARMA,AMAREL 2MG CPR/30,29760.0,0,2026-04-01 00:00:00
COFARMA,AMAREL 4MG CPR/30          ,62240.0,0,2026-08-01 00:00:00
COFARMA,AMARYL M    2MG  CPR/30,38350.0,0,2026-07-01 00:00:00
COFARMA,"AMFOCIN  500/62,5MG CPR /16",22600.0,0,2025-07-01 00:00:00
COFARMA,AMFOCIN  875/125MG CPR /14,31200.0,0,2025-03-01 00:00:00
COFARMA,AMFOCIN 1G/125MG PDR SUSP BUV S/12,30200.0,0,2025-06-01 00:00:00
COFARMA,AMLO DENK  5MG CPR/50         ,30600.0,0,2025-07-01 00:00:00
COFARMA,AMLO DENK 10MG CPR/50         *,49500.0,0,2025-02-01 00:00:00
COFARMA,AMLODIPINE BIOGARAN 10MG GELU/30,24620.0,0,2025-11-01 00:00:00
COFARMA,AMLODIPINE BIOGARAN 10MG GELU/30 *,19990.0,0,2025-01-01 00:00:00
COFARMA,AMLONG  5MG CPR/30,16350.0,0,2026-09-01 00:00:00
COFARMA,AMLONG 10MG CPR/30,24200.0,0,2026-07-01 00:00:00
COFARMA,AMLOR  5MG GELU/30           ,36200.0,0,2028-06-01 00:00:00
COFARMA,AMLOZAAR CPR/30,38830.0,0,2025-11-01 00:00:00
COFARMA,AMOX+AC CLAVU ZEE (MONAMOX-CL) 625MG CPR/2X10,17750.0,0,2026-09-01 00:00:00
COFARMA,AMOXI DENK 1000MG CPR/10      ,16720.0,0,2026-06-01 00:00:00
COFARMA,AMOXICILLINE UBI 250MG PDR FL/60ML ,5285.0,0,2026-05-01 00:00:00
COFARMA,"AMOXICLAV DENK  500/ 62,5MG CPR/16",24500.0,0,2025-11-01 00:00:00
COFARMA,AMOXICLAV DENK 1000/125MG PDR  S/8,24000.0,0,2026-04-01 00:00:00
COFARMA,AMVA DENK  5/160MG CPR PEL/2X14,70000.0,0,2026-11-01 00:00:00
COFARMA,AMVA DENK 10/160MG CPR PEL/2X14,81120.0,0,2026-04-01 00:00:00
COFARMA,ANGINOVAG AEROSOL FL/10ML     ,13900.0,0,2027-12-01 00:00:00
COFARMA,ANGIZAAR  50MG CPR/30,26890.0,0,2025-12-01 00:00:00
COFARMA,ANGIZAAR 100MG CPR/30,30890.0,0,2026-10-01 00:00:00
COFARMA,ANGIZAAR-H  CPR/30,29900.0,0,2026-10-01 00:00:00
COFARMA,ANTADYS 100MG CPR/15         ,15990.0,0,2026-07-01 00:00:00
COFARMA,ANTALGEX T GELU/20,9450.0,0,2026-02-01 00:00:00
COFARMA,ANTARENE 5% GEL TBE/50G,11800.0,0,2026-06-01 00:00:00
COFARMA,ANTI FROM PDRE B/50G SOMALCO *,2450.0,1,2026-03-01 00:00:00
COFARMA,ANTIBIO SYNALAR GTTE AUR/10ML,11500.0,0,2025-06-01 00:00:00
COFARMA,ANTIBIOMASY POUDRE 30G *,3730.0,0,2026-07-01 00:00:00
COFARMA,APDROPS CY FL/3ML,14200.0,0,2026-11-01 00:00:00
COFARMA,APDROPS DX CY FL/3ML,19000.0,0,2026-07-01 00:00:00
COFARMA,APDYL H SP FL/100ML +++,6600.0,0,2027-10-01 00:00:00
COFARMA,APRAMOL 500MG CPR EFF/2X8 +++,6200.0,0,2025-11-01 00:00:00
COFARMA,APROVASC 150/ 5MG CPR/28      ,88365.0,0,2026-10-01 00:00:00
COFARMA,APROVASC 150/10MG CPR/28,99990.0,0,2026-07-01 00:00:00
COFARMA,APROVASC 300/ 5MG CPR/28      ,97435.0,0,2025-08-01 00:00:00
COFARMA,APROVASC 300/10MG CPR/28     ,103950.0,0,2026-10-01 00:00:00
COFARMA,APROVEL RM 150MG CPR/28,88970.0,0,2026-04-01 00:00:00
COFARMA,APROVEL RM 300MG CPR/28,92195.0,0,2026-07-01 00:00:00
COFARMA,AQUALARM U.P. INTENSIV SOL OPHT FL/10ML,30600.0,1,2025-07-01 00:00:00
COFARMA,"AQUALARM UD INTENSIV UNID/0,5ML B/30 *",20500.0,1,2025-02-01 00:00:00
COFARMA,ARBITEL 40MG CPR/30,31990.0,0,2026-07-01 00:00:00
COFARMA,ARBITEL 80MG CPR/30,47440.0,0,2026-11-01 00:00:00
COFARMA,ARBITEL AM 40/  5MG CPR/30,48400.0,0,2027-02-01 00:00:00
COFARMA,ARBITEL H  40/125MG CPR/30,46300.0,0,2026-04-01 00:00:00
COFARMA,ARBITEL H 80MG CPR /30,59900.0,0,2026-01-01 00:00:00
COFARMA,ARCALION 200 DRG/20,39985.0,0,2025-08-01 00:00:00
COFARMA,ART 50 GELU/30              ,91200.0,0,2025-04-01 00:00:00
COFARMA,ARTEFAN 20/120MG CPR/ 6,7560.0,0,2026-08-01 00:00:00
COFARMA,ARTEFAN 80/480MG CPR/ 6,17595.0,0,2026-08-01 00:00:00
COFARMA,ARTELAC CY F/10ML,19050.0,0,2025-12-01 00:00:00
COFARMA,ARTHROCINE 200MG CPR/30    ,42500.0,0,2025-12-01 00:00:00
COFARMA,ASCABIOL LIQ US EXT FL/125ML  ,21150.0,0,2029-03-01 00:00:00
COFARMA,ASPEGIC  100 S/20 $$$,7020.0,0,2025-05-01 00:00:00
COFARMA,ASPEGIC  250 S/20,7270.0,0,2025-03-01 00:00:00
COFARMA,ASPEGIC  500 S/20         ,8870.0,0,2025-07-01 00:00:00
COFARMA,ASPEGIC 1000 S/20        ,13200.0,0,2026-05-01 00:00:00
COFARMA,ASPIRINE UPSA 1000MG CPR EFF/20,13135.0,0,2026-09-01 00:00:00
COFARMA,ASPIRINE UPSA VIT C  CPR EFF/20,5910.0,0,2025-10-01 00:00:00
COFARMA,ATA (ARO TSIMOKA ARETINA) S/8X10G *,5850.0,0,2026-03-01 00:00:00
COFARMA,ATACAND 16MG CPR/28,116850.0,0,2026-02-01 00:00:00
COFARMA,ATARAX  25MG DRG/30,11840.0,0,2028-07-01 00:00:00
COFARMA,ATARAX SP FL/200ML            ,12950.0,0,2025-12-01 00:00:00
COFARMA,ATENOLOL DENK 50MG CPR/100,30080.0,0,2025-10-01 00:00:00
COFARMA,ATORFIT 10MG CPR/30,22120.0,0,2027-07-01 00:00:00
COFARMA,ATORFIT 20MG CPR/30,38000.0,0,2027-08-01 00:00:00
COFARMA,"ATROPINE ALC 0,5% CY FL/10ML  ",16000.0,0,2026-04-01 00:00:00
COFARMA,"ATROVENT 0,50MG/1ML  AD B/30",102100.0,0,2025-09-01 00:00:00
COFARMA,"ATROVENT 0,50MG/2ML  AD B/10",24895.0,0,2025-03-01 00:00:00
COFARMA,AUGMENTIN  100MG ENF SUSP FL/60ML,25000.0,0,2025-07-01 00:00:00
COFARMA,AUGMENTIN  100MG NN SP FL/30ML ,13970.0,0,2025-10-01 00:00:00
COFARMA,AUREOMYCINE 3% PDE SPE T/15G,8550.0,0,2026-12-01 00:00:00
COFARMA,AVAS 20MG CPR/30,41940.0,0,2027-01-01 00:00:00
COFARMA,AVAS 40MG CPR/30,44200.0,0,2027-03-01 00:00:00
COFARMA,AZITHROMYCINE EXETER (AZITEX) 250MG GELU/6,5200.0,0,2026-12-01 00:00:00
COFARMA,AZITHROMYCINE EXETER (AZITEX) 500MG  CPR/3,5200.0,0,2026-11-01 00:00:00
COFARMA,BABYSOIN SERUM PHY UNIDOSE/20,8180.0,0,2026-07-01 00:00:00
COFARMA,BACILOR 250MG GELU/20,18500.0,0,2025-03-01 00:00:00
COFARMA,BACTOCLAV  100MG SUSP FL/100ML,23500.0,0,2026-05-01 00:00:00
COFARMA,BACTOCLAV  625MG CPR PEL/20,19200.0,0,2025-12-01 00:00:00
COFARMA,BACTODERME CREME TBE/15G *,3700.0,0,2025-10-01 00:00:00
COFARMA,BAIN BOUCH GUM GINGIDEX ANTIPLQ GENC SENS /300ML *,19100.0,1,2025-03-01 00:00:00
COFARMA,BAIN BOUCH GUM PAROEX ANTIPLQ GENC SENS FL/300ML *,19150.0,1,2025-09-01 00:00:00
COFARMA,BAIN DE BOUCHE EAU ELIXIR FL/150ML HOMEOP *,4440.0,1,2026-05-01 00:00:00
COFARMA,BANDE CREPE LABELL CELLO 4MX 5CM,2900.0,0,2028-08-01 00:00:00
COFARMA,BANDE CREPE LABELL CELLO 4MX10CM,5080.0,0,2028-08-01 00:00:00
COFARMA,BANDE CREPE LABELL CELLO 4MX15CM,7400.0,0,2028-08-01 00:00:00
COFARMA,BANDE CREPE LABELL ETUI 4MX 5,2850.0,1,2028-08-01 00:00:00
COFARMA,BANDE CREPE LABELL ETUI 4MX 7,3600.0,0,2028-04-01 00:00:00
COFARMA,BANDE CREPE LOHM CELLO 4MX 7CM,3600.0,0,2028-04-01 00:00:00
COFARMA,BANDE CREPE LOHM CELLO 4MX10CM,5145.0,0,2028-12-01 00:00:00
COFARMA,BANDE DE CREPE BLANCHI HYPHEN MEDICAL 4MX 5CM *,2730.0,0,2027-06-01 00:00:00
COFARMA,BANDE DE CREPE BLANCHI HYPHEN MEDICAL 4MX 7CM *,3800.0,0,2027-06-01 00:00:00
COFARMA,BANDE DE CREPE BLANCHI HYPHEN MEDICAL 4MX10CM *,3950.0,0,2026-05-01 00:00:00
COFARMA,BANDE GAZE 4M X  7CM B12 TETRA *,9890.0,0,2026-12-01 00:00:00
COFARMA,BANDE NYL EXT LABELL CELLO 3MX10,1480.0,0,2028-08-01 00:00:00
COFARMA,BANDE PLATREE LABELL 2MX20CM,5900.0,0,2028-06-01 00:00:00
COFARMA,BANDE VELPEAUCREPE 4MX 5CM ,4600.0,0,2028-12-01 00:00:00
COFARMA,BANDE VELPEAUCREPE 4MX15CM,9700.0,0,2027-09-01 00:00:00
COFARMA,BANDE VELPEAUCREPE 5MX20CM,14000.0,0,2028-10-01 00:00:00
COFARMA,BASDENE CPR/50             ,18690.0,0,2028-06-01 00:00:00
COFARMA,BASI-OMEPRAZOLE 40MG PDRE POUR SOL PERF FL/10,119700.0,0,2025-10-01 00:00:00
COFARMA,BASI-TRAMADOL 100MG/2ML SOL INJ 2ML AMP/50,97700.0,0,2026-12-01 00:00:00
COFARMA,BASSIN LIT POLYPROPYLENE BLANC,64700.0,1,2150-01-01 00:00:00
COFARMA,BAUME ARNICA POT 20G HOMEOP *,7980.0,1,2024-12-01 00:00:00
COFARMA,BAUME ARNICA POT 30G VANIALA *,6000.0,1,2026-05-01 00:00:00
COFARMA,BAUME ARTICULATION POT 20G HOMEOP * *,7980.0,1,2024-09-01 00:00:00
COFARMA,BAUME CALENDULA POT 20G HOMEOP * *,8800.0,1,2025-01-01 00:00:00
COFARMA,BAUME FOSA POT 10G VANIALA *,3000.0,1,2026-06-01 00:00:00
COFARMA,BAUME FOSA POT 30G VANIALA *,11950.0,1,2026-06-01 00:00:00
COFARMA,BAUME HELICHRYSE POT 20G HOMEOP *,8800.0,1,2025-01-01 00:00:00
COFARMA,BAUME HELICHRYSE POT 30G VANIALA *,5050.0,1,2026-04-01 00:00:00
COFARMA,BAUME KATRAFAY POT 20G HOMEOP **,6500.0,1,2024-09-01 00:00:00
COFARMA,BAUME RELAX FANA POT/40G SOMALCO *,3280.0,1,2025-10-01 00:00:00
COFARMA,BECILAN 250MG CPR/40        ,39950.0,0,2026-05-01 00:00:00
COFARMA,BECILAN 250MG/5ML INJ AMP/5 ,20400.0,0,2028-07-01 00:00:00
COFARMA,BECLO ASMA 250MCG AEROSOL     ,35670.0,0,2025-10-01 00:00:00
COFARMA,BEDELIX PDR ORALE S/30,23500.0,0,2026-10-01 00:00:00
COFARMA,BEPANTHEN 5% POM TBE/ 30G,39700.0,0,2026-12-01 00:00:00
COFARMA,BEPANTHEN 5% POM TBE/100G,69500.0,0,2026-07-01 00:00:00
COFARMA,BEROCCA BOOST CPR EFF B/20,102000.0,1,2026-07-01 00:00:00
COFARMA,BEROCCA ENERGIE CPR PEL/30,96120.0,0,2026-11-01 00:00:00
COFARMA,BEROCCA ENERGIE ORANGE CPR EFF/30,109000.0,0,2025-06-01 00:00:00
COFARMA,BESIVANCE 0.6% SUSP OPHT FL/5ML,37600.0,0,2025-07-01 00:00:00
COFARMA,BETADINE 10% B BOUCHE FL/125ML VERT,7800.0,0,2026-11-01 00:00:00
COFARMA,BETADINE 10% DERMIQ FL/125ML JAUN,9495.0,0,2025-12-01 00:00:00
COFARMA,BETADINE 10% SOL VAG FL/125ML BLEU,7400.0,0,2026-11-01 00:00:00
COFARMA,BETADINE 10% SOL VAG FL/500ML BLEU,24900.0,0,2026-09-01 00:00:00
COFARMA,BETADINE SCRUB FL/125ML ROUGE ,7950.0,0,2027-02-01 00:00:00
COFARMA,BETADINE SCRUB FL/500ML ROUGE ,23870.0,0,2026-07-01 00:00:00
COFARMA,BETAMETASONE BASI 1MG/G POM TBE/30G ,9990.0,0,2025-07-01 00:00:00
COFARMA,BETASERC 24MG CPR/60,47215.0,0,2026-10-01 00:00:00
COFARMA,BEVITINE 250MG DRG/20,13540.0,0,2026-09-01 00:00:00
COFARMA,BIAFINE EMULSION HYP HYD  93G,12620.0,0,2026-08-01 00:00:00
COFARMA,BIAFINE EMULSION HYP HYD 186G,25995.0,0,2026-10-01 00:00:00
COFARMA,BIBA SP FL/100ML +++,8400.0,0,2026-02-01 00:00:00
COFARMA,BIOFAR ACE SE ZN         CPR EFF/20,18570.0,1,2027-02-01 00:00:00
COFARMA,BIOFAR CALCIUM + MAGNES  CPR EFF/20,16880.0,1,2026-10-01 00:00:00
COFARMA,BIOFAR COMPLEXE VIT B    CPR EFF/20,16600.0,1,2026-10-01 00:00:00
COFARMA,BIOFAR MULTIVIT 12 FLAVO CPR EFF/20,16450.0,1,2025-09-01 00:00:00
COFARMA,BIOFAR VIT C  500MG      CPR EFF/20 *,9990.0,1,2024-10-01 00:00:00
COFARMA,BIOFAR ZINC ORGANIQUE  VIT C  CPR EFF/20,19400.0,1,2025-09-01 00:00:00
COFARMA,BIOS  HE CEDRE DE L’ATLAS 10ML          N 238 **,10570.0,1,2024-12-01 00:00:00
COFARMA,BIOS  HE EUCALYPTUS GLOBULUS 10ML       N 101 *,9190.0,1,2027-12-01 00:00:00
COFARMA,BIOS  HE EUCALYPTUS RADIE 5ML           N 228 *,12210.0,1,2026-12-01 00:00:00
COFARMA,BIOS  HE KATRAFAY 10ML                  N 121 *,16480.0,1,2027-12-01 00:00:00
COFARMA,BIOS  HE LAVANDIN SUPER 10ML            N 217 *,12200.0,1,2027-01-01 00:00:00
COFARMA,BIOS  HE LEMONGRASS 10ML                N 110 *,13090.0,1,2026-12-01 00:00:00
COFARMA,BIOS  HE MENTHE POIVREE 5ML             N 214 *,10700.0,1,2027-10-01 00:00:00
COFARMA,BIOS  HE RAVENSARA AROMATICA 10ML       N 102 *,10820.0,1,2026-12-01 00:00:00
COFARMA,BIOS  HE RAVINTSARA 10ML                N 106 *,12710.0,1,2026-01-01 00:00:00
COFARMA,BIOS  HE YLANGYLANG COMPLETE 10ML       N 112 *,15730.0,1,2150-01-01 00:00:00
COFARMA,BIOS AMAIGRISSEMENT-COMPLEXE CITRON 10ML N 65 *,23300.0,1,2027-12-01 00:00:00
COFARMA,BIOS BRULURE/AIGR ESTOM-CPL CITRON 10ML  N 24 *,17150.0,1,2027-12-01 00:00:00
COFARMA,BIOS DEBUT MAL VIR AD-MLG RAVINTS 10ML   N 11 *,14970.0,1,2027-12-01 00:00:00
COFARMA,BIOS ECOMBR SINUS-COMPLEXE EUCALYP RADIE 5ML N  *,14900.0,1,2026-12-01 00:00:00
COFARMA,BIOS MAUVAISE HALEINE-MLG MNTH POIVR 5ML N  *,16750.0,1,2027-12-01 00:00:00
COFARMA,BIOS OBESITE-COMPLEXE MANDARINE 10ML     N 66 *,23900.0,1,2029-12-01 00:00:00
COFARMA,BIOS PIQURE INSEC-MLG GERAN BOURBON 10ML  N 3 *,15220.0,1,2027-10-01 00:00:00
COFARMA,BIOS REGLES DOULOUR-MLG BASILI TROP 10ML N 19 *,17700.0,1,2026-12-01 00:00:00
COFARMA,BIOTINE BAY 5MG CPR/60,149600.0,0,2027-12-01 00:00:00
COFARMA,BIOTINE BAY INJ IM 1ML AMP/6,43950.0,0,2026-03-01 00:00:00
COFARMA,"BIPRETERAX  5MG/1,25MG CPR/30    ",45000.0,0,2026-09-01 00:00:00
COFARMA,"BIPRETERAX 10MG/2,5 MG CPR/30",88690.0,0,2026-10-01 00:00:00
COFARMA,BIPROFENID LP 100MG CPR/20 *,16650.0,0,2025-01-01 00:00:00
COFARMA,BISEPTINE SOL EXT FL/100ML    ,15100.0,0,2026-02-01 00:00:00
COFARMA,BITILDIEM LP  90MG CPR/28     ,25200.0,0,2025-12-01 00:00:00
COFARMA,BITILDIEM LP 120MG CPR/28    ,24750.0,0,2025-10-01 00:00:00
COFARMA,BOLINAN CPR/15             ,27900.0,0,2025-07-01 00:00:00
COFARMA,BOLINAN CPR/40             ,60500.0,0,2026-09-01 00:00:00
COFARMA,BRONCATHIOL AD  SP FL/150ML    ,13330.0,0,2026-12-01 00:00:00
COFARMA,BRONCHODERMINE POM TBE/60G,21980.0,0,2025-11-01 00:00:00
COFARMA,BROSSE A DENT GUM ACTIVITAL COMPACT SOUPLE 581 *,10500.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM ACTIVITAL MEDIUM COMPACT 583 *,11800.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM ACTIVITAL SOUPL-ULTRA COMP 585 *,8950.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM JUNIOR 7 A 9 ANS 902 *,7550.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM KIDS 3 A 6 ANS 901 *,8720.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM ORTHO SOUPLE COUPE V 124 *,11680.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM POST-OP ULTRA-SOUPLE COMP 317 *,9930.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM SENSIVITAL ULTRA-SOUPLE 509 *,9930.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM TECHNIQUE PRO MEDIUM-COMP 528 *,11990.0,1,2150-01-01 00:00:00
COFARMA,BROSSE A DENT GUM TECHNIQUE PRO SOUPLE-COMP 525 *,11780.0,1,2150-01-01 00:00:00
COFARMA,BROSSET INTERDENT GUM BATONNET CAOUT CONFLEX/50 *,11990.0,1,2150-01-01 00:00:00
COFARMA,BROSSET INTERDENT GUM ORIENTAB 2POS 0.9MMX6 2314 *,15150.0,1,2150-01-01 00:00:00
COFARMA,BROSSET INTERDENT GUM PROT ANTIBACT 0.8MMX4 1314 *,12500.0,1,2150-01-01 00:00:00
COFARMA,BROSSET INTERDENT GUM PROT ANTIBACT 0.9MMX4 1412 *,12500.0,1,2150-01-01 00:00:00
COFARMA,BROSSET INTERDENT GUM PROT ANTIBACT 1.2MMX4 1512 *,12430.0,1,2150-01-01 00:00:00
COFARMA,BROSSET INTERDENT GUM PROT ANTIBACT 1.3MMX4 1514 *,9750.0,1,2150-01-01 00:00:00
COFARMA,BROSSET INTERDENT GUM PROT ANTIBACT 1.4MMX4 1612 *,12430.0,1,2150-01-01 00:00:00
COFARMA,BRUFEN 400MG CPR PEL/30,13880.0,0,2026-01-01 00:00:00
COFARMA,"CAFEINE CITRAT 2,5% CPF/10 DT",46500.0,0,2025-12-01 00:00:00
COFARMA,CAISSE SECURITE PCA PERFUSOR FM *,530973.0,1,2150-01-01 00:00:00
COFARMA,CALCIBRONAT 2G CPR EFF/20    ,18400.0,0,2026-03-01 00:00:00
COFARMA,CALCID DENK CPR EFF/20       ,27220.0,0,2027-02-01 00:00:00
COFARMA,CALCIUM ACTIVE DENK 500 CPR/20,17470.0,1,2027-02-01 00:00:00
COFARMA,CALCIUM MASY POUDRE S/100G *,4785.0,0,2025-07-01 00:00:00
COFARMA,CARBAMAZEPINE (EPIHOLD) HOLDEN 200MG CPR/30  *,6800.0,0,2026-10-01 00:00:00
COFARMA,CARBOKOF AD  FL/100ML *,7400.0,0,2026-10-01 00:00:00
COFARMA,CARBOKOF ENF FL/ 60ML *,4440.0,0,2027-01-01 00:00:00
COFARMA,CARDIURINE CPR/30,20990.0,0,2025-09-01 00:00:00
COFARMA,CARTINEX 500 CPR/30,51410.0,0,2026-11-01 00:00:00
COFARMA,"CARVEDI DENK  6,25MG CPR/30",24600.0,0,2026-08-01 00:00:00
COFARMA,CARVEDI DENK 25   MG CPR/30,33190.0,0,2026-05-01 00:00:00
COFARMA,CASODEX 50MG CPR/30 ,335000.0,0,2027-09-01 00:00:00
COFARMA,CATACOL POS CY FL/10ML        ,39000.0,0,2026-09-01 00:00:00
COFARMA,CATAFLAM 25MG CPR/20        *,7500.0,0,2024-12-01 00:00:00
COFARMA,CATHETER SAFETY UBI ONE IV 20G ROSE/1,3500.0,0,2028-04-01 00:00:00
COFARMA,CATHETER SAFETY UBI ONE IV 22G BLEU/1,3530.0,0,2028-03-01 00:00:00
COFARMA,CATHETER SAFETY UBI ONE IV 24G JAUNE/1,3500.0,0,2028-03-01 00:00:00
COFARMA,CATHETER UBI ONE IV 22G 25MM BLEU/1,2780.0,0,2028-02-01 00:00:00
COFARMA,"CEBESINE 0,4% CY FL/5ML",10900.0,0,2025-05-01 00:00:00
COFARMA,CELECTOL 200MG CPR/28      ,34500.0,0,2025-09-01 00:00:00
COFARMA,CELESTENE 2MG CPR DISP/20  ,17450.0,0,2026-02-01 00:00:00
COFARMA,CERULYSE SOL FL/10ML     ,9885.0,0,2026-08-01 00:00:00
COFARMA,CETAZONE 1000MG INJ FL/1 +++,8050.0,0,2026-06-01 00:00:00
COFARMA,CHIBRO CADRON CY FL/5ML       ,10140.0,0,2026-06-01 00:00:00
COFARMA,CHIBRO PROSCAR 5MG CPR/28  ,68280.0,0,2025-05-01 00:00:00
COFARMA,CHIBROXINE CY FL/5ML          ,16400.0,0,2026-10-01 00:00:00
COFARMA,CHLORURE DE POTAS INJ IV 10% 10ML AMP/10 COOPER,26000.0,0,2028-09-01 00:00:00
COFARMA,CHLORURE DE SODIUM 10% 10ML AMP/10 COOPER,27200.0,0,2028-06-01 00:00:00
COFARMA,CINQ/CINQ TROPIC VAPO/75ML,91500.0,1,2027-09-01 00:00:00
